# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2234420	2235133	-					yfhG		ECMDS42_2099	714		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2234420	2235133	-	BAL39311.1			conserved protein	yfhG		ECMDS42_2099	714	237	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2235298	2236725	-					yfhK		ECMDS42_2100	1428		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2235298	2236725	-	BAL39312.1			predicted sensory kinase in two-component system	yfhK		ECMDS42_2100	1428	475	
gene	misc_RNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2236819	2236967	-					sroF		ECMDS42_2101	149		
misc_RNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2236819	2236967	-					sroF		ECMDS42_2101	149		
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2237283	2241170	-					purL		ECMDS42_2102	3888		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2237283	2241170	-	BAL39313.1			phosphoribosylformyl-glycineamide synthetase	purL		ECMDS42_2102	3888	1295	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2241566	2242984	+					yfhD		ECMDS42_2103	1419		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2241566	2242984	+	BAL39314.1			predicted transglycosylase	yfhD		ECMDS42_2103	1419	472	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2242981	2243517	-					tadA		ECMDS42_2104	537		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2242981	2243517	-	BAL39315.1			tRNA-specific adenosine deaminase	tadA		ECMDS42_2104	537	178	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2243542	2244177	-					yfhB		ECMDS42_2105	636		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2243542	2244177	-	BAL39316.1			conserved protein	yfhB		ECMDS42_2105	636	211	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2244386	2245234	+					yfhH		ECMDS42_2106	849		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2244386	2245234	+	BAL39317.1			predicted DNA-binding transcriptional regulator	yfhH		ECMDS42_2106	849	282	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2245290	2245550	+					yfhL		ECMDS42_2107	261		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2245290	2245550	+	BAL39318.1			predicted 4Fe-4S cluster-containing protein	yfhL		ECMDS42_2107	261	86	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2246245	2246625	-					acpS		ECMDS42_2108	381		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2246245	2246625	-	BAL39319.1			holo-[acyl-carrier-protein] synthase 1	acpS		ECMDS42_2108	381	126	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2246625	2247356	-					pdxJ		ECMDS42_2109	732		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2246625	2247356	-	BAL39320.1			pyridoxine 5'-phosphate synthase	pdxJ		ECMDS42_2109	732	243	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2247368	2248096	-					recO		ECMDS42_2110	729		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2247368	2248096	-	BAL39321.1			gap repair protein	recO		ECMDS42_2110	729	242	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2248108	2249013	-					era		ECMDS42_2111	906		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2248108	2249013	-	BAL39322.1				era		ECMDS42_2111	906	301	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2249010	2249690	-					rnc		ECMDS42_2112	681		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2249010	2249690	-	BAL39323.1			RNase III	rnc		ECMDS42_2112	681	226	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2249962	2250936	-					lepB		ECMDS42_2113	975		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2249962	2250936	-	BAL39324.1			leader peptidase	lepB		ECMDS42_2113	975	324	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2250952	2252751	-					lepA		ECMDS42_2114	1800		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2250952	2252751	-	BAL39325.1			GTP binding membrane protein	lepA		ECMDS42_2114	1800	599	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2252949	2253428	-					rseC		ECMDS42_2115	480		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2252949	2253428	-	BAL39326.1			RseC protein	rseC		ECMDS42_2115	480	159	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2253425	2254381	-					rseB		ECMDS42_2116	957		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2253425	2254381	-	BAL39327.1			anti-sigma factor	rseB		ECMDS42_2116	957	318	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2254381	2255031	-					rseA		ECMDS42_2117	651		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2254381	2255031	-	BAL39328.1			anti-sigma factor	rseA		ECMDS42_2117	651	216	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2255064	2255639	-					rpoE		ECMDS42_2118	576		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2255064	2255639	-	BAL39329.1			RNA polymerase, sigma 24 (sigma E) factor	rpoE		ECMDS42_2118	576	191	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2256047	2257669	+					nadB		ECMDS42_2119	1623		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2256047	2257669	+	BAL39330.1			quinolinate synthase, L-aspartate oxidase (B protein) subunit	nadB		ECMDS42_2119	1623	540	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2257654	2258391	-					yfiC		ECMDS42_2120	738		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2257654	2258391	-	BAL39331.1			predicted methyltransferase	yfiC		ECMDS42_2120	738	245	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2258523	2259857	+					srmB		ECMDS42_2121	1335		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2258523	2259857	+	BAL39332.1			ATP-dependent RNA helicase	srmB		ECMDS42_2121	1335	444	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2260066	2260947	-					yfiE		ECMDS42_2122	882		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2260066	2260947	-	BAL39333.1			predicted DNA-binding transcriptional regulator	yfiE		ECMDS42_2122	882	293	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2261050	2261637	+					yfiK		ECMDS42_2123	588		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2261050	2261637	+	BAL39334.1			neutral amino-acid efflux system	yfiK		ECMDS42_2123	588	195	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2261693	2262076	-					yfiD		ECMDS42_2124	384		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2261693	2262076	-	BAL39335.1			pyruvate formate lyase subunit	yfiD		ECMDS42_2124	384	127	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2262381	2263070	+					ung		ECMDS42_2125	690		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2262381	2263070	+	BAL39336.1			uracil-DNA-glycosylase	ung		ECMDS42_2125	690	229	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2263118	2264155	-					yfiF		ECMDS42_2126	1038		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2263118	2264155	-	BAL39337.1			predicted methyltransferase	yfiF		ECMDS42_2126	1038	345	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2264362	2264781	+					trxC		ECMDS42_2127	420		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2264362	2264781	+	BAL39338.1			thioredoxin 2	trxC		ECMDS42_2127	420	139	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2264850	2265548	+					yfiP		ECMDS42_2128	699		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2264850	2265548	+	BAL39339.1			conserved protein	yfiP		ECMDS42_2128	699	232	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2265580	2268240	+					yfiQ		ECMDS42_2129	2661		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2265580	2268240	+	BAL39340.1			fused predicted acyl-CoA synthetase NAD(P)-binding subunit	yfiQ		ECMDS42_2129	2661	886	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2268354	2269709	+					pssA		ECMDS42_2130	1356		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2268354	2269709	+	BAL39341.1			phosphatidylserine synthase	pssA		ECMDS42_2130	1356	451	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2269806	2270078	+					yfiM		ECMDS42_2131	273		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2269806	2270078	+	BAL39342.1			predicted protein	yfiM		ECMDS42_2131	273	90	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2270075	2271373	-					kgtP		ECMDS42_2132	1299		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2270075	2271373	-	BAL39343.1			alpha-ketoglutarate transporter	kgtP		ECMDS42_2132	1299	432	
gene	rRNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2271696	2271815	-					rrfG		ECMDS42_2133	120		
rRNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2271696	2271815	-				5S ribosomal RNA (rrfG)	rrfG		ECMDS42_2133	120		
gene	rRNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2271908	2274811	-					rrlG		ECMDS42_2134	2904		
rRNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2271908	2274811	-				23S ribosomal RNA (rrlG)	rrlG		ECMDS42_2134	2904		
gene	tRNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2274996	2275071	-					gltW		ECMDS42_2135	76		
tRNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2274996	2275071	-				tRNA-Glu	gltW		ECMDS42_2135	76		
gene	rRNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2275243	2276784	-					rrsG		ECMDS42_2136	1542		
rRNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2275243	2276784	-				16S ribosomal RNA (rrnG)	rrsG		ECMDS42_2136	1542		
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2277227	2279800	-					clpB		ECMDS42_2137	2574		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2277227	2279800	-	BAL39344.1			protein disaggregation chaperone	clpB		ECMDS42_2137	2574	857	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2279930	2280661	-					yfiH		ECMDS42_2138	732		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2279930	2280661	-	BAL39345.1			conserved protein	yfiH		ECMDS42_2138	732	243	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2280658	2281638	-					rluD		ECMDS42_2139	981		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2280658	2281638	-	BAL39346.1			23S rRNA pseudouridine synthase	rluD		ECMDS42_2139	981	326	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2281773	2282510	+					yfiO		ECMDS42_2140	738		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2281773	2282510	+	BAL39347.1			predicted lipoprotein	yfiO		ECMDS42_2140	738	245	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2282781	2283122	+					yfiA		ECMDS42_2141	342		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2282781	2283122	+	BAL39348.1			cold shock protein	yfiA		ECMDS42_2141	342	113	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2283226	2283273	+					pheL		ECMDS42_2142	48		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2283226	2283273	+	BAL39349.1			pheA gene leader peptide	pheL		ECMDS42_2142	48	15	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2283372	2284532	+					pheA		ECMDS42_2143	1161		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2283372	2284532	+	BAL39350.1			fused chorismate mutase P/prephenate dehydratase	pheA		ECMDS42_2143	1161	386	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2284575	2285696	-					tyrA		ECMDS42_2144	1122		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2284575	2285696	-	BAL39351.1			fused chorismate mutase T/prephenate dehydrogenase	tyrA		ECMDS42_2144	1122	373	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2285707	2286777	-					aroF		ECMDS42_2145	1071		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2285707	2286777	-	BAL39352.1			3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible	aroF		ECMDS42_2145	1071	356	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2286987	2287352	+					yfiL		ECMDS42_2146	366		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2286987	2287352	+	BAL39353.1			predicted protein	yfiL		ECMDS42_2146	366	121	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2287502	2288020	+					yfiR		ECMDS42_2147	519		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2287502	2288020	+	BAL39354.1			predicted protein	yfiR		ECMDS42_2147	519	172	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2288010	2289236	+					yfiN		ECMDS42_2148	1227		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2288010	2289236	+	BAL39355.1			predicted diguanylate cyclase	yfiN		ECMDS42_2148	1227	408	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2289252	2289734	+					yfiB		ECMDS42_2149	483		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2289252	2289734	+	BAL39356.1			predicted outer membrane lipoprotein	yfiB		ECMDS42_2149	483	160	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2289810	2290157	-					rplS		ECMDS42_2150	348		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2289810	2290157	-	BAL39357.1			50S ribosomal subunit protein L19	rplS		ECMDS42_2150	348	115	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2290199	2290966	-					trmD		ECMDS42_2151	768		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2290199	2290966	-	BAL39358.1			tRNA (guanine-1-)-methyltransferase	trmD		ECMDS42_2151	768	255	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2290997	2291545	-					rimM		ECMDS42_2152	549		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2290997	2291545	-	BAL39359.1			16S rRNA processing protein	rimM		ECMDS42_2152	549	182	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2291564	2291812	-					rpsP		ECMDS42_2153	249		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2291564	2291812	-	BAL39360.1			30S ribosomal subunit protein S16	rpsP		ECMDS42_2153	249	82	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2292061	2293422	-					ffh		ECMDS42_2154	1362		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2292061	2293422	-	BAL39361.1			signal recognition particle (SRP) component with 4.5S RNA	ffh		ECMDS42_2154	1362	453	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2293514	2294380	+					ypjD		ECMDS42_2155	867		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2293514	2294380	+	BAL39362.1			predicted inner membrane protein	ypjD		ECMDS42_2155	867	288	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2294491	2295687	+					yfjD		ECMDS42_2156	1197		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2294491	2295687	+	BAL39363.1			predicted inner membrane protein	yfjD		ECMDS42_2156	1197	398	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2295742	2296335	-					grpE		ECMDS42_2157	594		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2295742	2296335	-	BAL39364.1			heat shock protein	grpE		ECMDS42_2157	594	197	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2296458	2297336	+					uppS		ECMDS42_2158	879		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2296458	2297336	+	BAL39365.1			NAD kinase	uppS		ECMDS42_2158	879	292	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2297422	2299083	+					recN		ECMDS42_2159	1662		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2297422	2299083	+	BAL39366.1			recombination and repair protein	recN		ECMDS42_2159	1662	553	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2299232	2299573	+					smpA		ECMDS42_2160	342		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2299232	2299573	+	BAL39367.1			small membrane lipoprotein	smpA		ECMDS42_2160	342	113	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2299635	2299925	-					yfjF		ECMDS42_2161	291		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2299635	2299925	-	BAL39368.1			predicted protein	yfjF		ECMDS42_2161	291	96	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2299915	2300391	-					yfjG		ECMDS42_2162	477		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2299915	2300391	-	BAL39369.1			conserved protein	yfjG		ECMDS42_2162	477	158	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2300523	2301005	+					smpB		ECMDS42_2163	483		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2300523	2301005	+	BAL39370.1			trans-translation protein	smpB		ECMDS42_2163	483	160	
gene	tmRNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2301220	2301582	+					ssrA		ECMDS42_2164	363		
tmRNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2301220	2301582	+					ssrA		ECMDS42_2164	363		
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2301808	2303256	+					gabD		ECMDS42_2165	1449		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2301808	2303256	+	BAL39371.1			succinate-semialdehyde dehydrogenase I, NADP-dependent	gabD		ECMDS42_2165	1449	482	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2303270	2304550	+					gabT		ECMDS42_2166	1281		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2303270	2304550	+	BAL39372.1			4-aminobutyrate aminotransferase, PLP-dependent	gabT		ECMDS42_2166	1281	426	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2304788	2306188	+					gabP		ECMDS42_2167	1401		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2304788	2306188	+	BAL39373.1			gamma-aminobutyrate transporter	gabP		ECMDS42_2167	1401	466	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2306209	2306871	+					csiR		ECMDS42_2168	663		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2306209	2306871	+	BAL39374.1			DNA-binding transcriptional dual regulator	csiR		ECMDS42_2168	663	220	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2306872	2307321	-					ygaU		ECMDS42_2169	450		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2306872	2307321	-	BAL39375.1			predicted protein	ygaU		ECMDS42_2169	450	149	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2307405	2307563	-					yqaE		ECMDS42_2170	159		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2307405	2307563	-	BAL39376.1			predicted membrane protein	yqaE		ECMDS42_2170	159	52	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2307746	2308045	+					ygaV		ECMDS42_2171	300		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2307746	2308045	+	BAL39377.1			predicted DNA-binding transcriptional regulator	ygaV		ECMDS42_2171	300	99	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2308055	2308579	+					ygaP		ECMDS42_2172	525		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2308055	2308579	+	BAL39378.1			predicted inner membrane protein with hydrolase activity	ygaP		ECMDS42_2172	525	174	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2308626	2309030	-					stpA		ECMDS42_2173	405		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2308626	2309030	-	BAL39379.1			DNA binding protein	stpA		ECMDS42_2173	405	134	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2309699	2310148	+					ygaW		ECMDS42_2174	450		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2309699	2310148	+	BAL39380.1			predicted inner membrane protein	ygaW		ECMDS42_2174	450	149	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2310185	2310529	-					ygaC		ECMDS42_2175	345		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2310185	2310529	-	BAL39381.1			predicted protein	ygaC		ECMDS42_2175	345	114	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2310669	2311010	+					ygaM		ECMDS42_2176	342		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2310669	2311010	+	BAL39382.1			predicted protein	ygaM		ECMDS42_2176	342	113	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2311258	2311503	+					nrdH		ECMDS42_2177	246		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2311258	2311503	+	BAL39383.1			glutaredoxin-like protein	nrdH		ECMDS42_2177	246	81	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2311500	2311910	+					nrdI		ECMDS42_2178	411		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2311500	2311910	+	BAL39384.1			protein that stimulates ribonucleotide reduction	nrdI		ECMDS42_2178	411	136	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2311883	2314027	+					nrdE		ECMDS42_2179	2145		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2311883	2314027	+	BAL39385.1			ribonucleoside-diphosphate reductase 2, alpha subunit	nrdE		ECMDS42_2179	2145	714	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2314037	2314996	+					nrdF		ECMDS42_2180	960		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2314037	2314996	+	BAL39386.1			ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like	nrdF		ECMDS42_2180	960	319	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2315350	2316552	+					proV		ECMDS42_2181	1203		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2315350	2316552	+	BAL39387.1			glycine betaine transporter subunit	proV		ECMDS42_2181	1203	400	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2316545	2317609	+					proW		ECMDS42_2182	1065		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2316545	2317609	+	BAL39388.1			glycine betaine transporter subunit	proW		ECMDS42_2182	1065	354	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2317667	2318659	+					proX		ECMDS42_2183	993		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2317667	2318659	+	BAL39389.1			glycine betaine transporter subunit	proX		ECMDS42_2183	993	330	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2318851	2319117	+					ygaX		ECMDS42_2184	267		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2318851	2319117	+	BAL39390.1			predicted transporter	ygaX		ECMDS42_2184	267	88	
gene	other	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2319147	2320028	+					ygaY		ECMDS42_2185	882		
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2320152	2320889	+					ygaZ		ECMDS42_2186	738		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2320152	2320889	+	BAL39391.1			predicted transporter	ygaZ		ECMDS42_2186	738	245	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2320879	2321214	+					ygaH		ECMDS42_2187	336		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2320879	2321214	+	BAL39392.1			predicted inner membrane protein	ygaH		ECMDS42_2187	336	111	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2321305	2321835	+					mprA		ECMDS42_2188	531		
